ending1,ending2,ending3,ending4,label
move to the ground.,try to feed her.,swarm out into them.,turn to stare at something.,2
touch with an wry smile.,meet a tender tender kiss.,"meet, gazing at each other.",meet in an elegant kiss.,1
go at the same time.,continue to smile and kiss.,flip out of the raft.,scramble to dance again.,2
smiles and twirls away.,pulls his equipment tighter.,closes someone's eyes.,glances at the woman.,3
moves his index hand back.,closes someone's eyes.,pulls his equipment tighter.,smiles and twirls away.,3
sits on a sofa in her room.,clutches her own neck.,puts his hand on her back.,"smirks, shaking his head.",2
sighs and stands up.,clutches her own neck.,sits on a sofa in her room.,stretches out her finger.,0
has someone go and serves.,knows what he has done.,flips the ugly rodent clear.,gives someone a drink.,2
squeezes someone's hand.,leans low beside a lantern.,leans in back affectionately.,reaches out towards someone.,3
is running through the woods.,"sits up to her side, smiling.",is in the end window.,jerks it toward her face.,3
raise their arms and kiss.,"stand, facing each other.",sit down from the stove.,lie asleep on their bed.,1
lie asleep on their bed.,raise their arms and kiss.,sit down from the stove.,step out of the room.,3
monitor the glowing inn ring.,pass a convoy of data.,reach a twelve degree level.,see students and staff.,3
walks down a staircase.,throws himself to his feet.,lowers the bar to his chest.,climbs up the hill's edge.,2
returns to a military suv.,points at the screen.,slaps the back of a car.,walks up to someone.,0
sits up and smiles.,sinks down onto the step.,wears a school blazer.,hits the glass closer.,1
looks up from his manuscript.,opens the bedroom door.,puts his hand on her arm.,holds his lips close to hers.,2
leaps at the door.,gives her a grateful smile.,gazes solemnly at her son.,glances into her eyes.,1
is only inches from its ear.,rests on her back.,is resting on a pole.,is growing on the ice.,1
gazes solemnly at her son.,glances into her eyes.,looks lost in sad thought.,leaps at the door.,2
puts a plate in the oven.,firmly look at hand.,stands next to her.,walks slowly toward someone.,2
come someone's way.,are addressed to it.,pick someone's way.,tumble off the field.,0
pointed at his head.,back into his neck.,tucked under his rocks.,surrounding his firm hand.,0
helps his son up.,"stops his pace, then stops.",stands the last few steps in.,turns the lamp on.,3
stands the last few steps in.,"stops his pace, then stops.",helps his son up.,glides past the door.,3
leans over and kisses her.,rises to his feet.,wraps his arms around her.,remembers someone's uniform.,2
begin to play the pipes.,are playing the piano.,speak to the camera.,are playing with an iron.,2
play the piano together.,are playing the piano.,begin to play the pipes.,are playing with an iron.,0
cuts across the surface.,glances back at someone.,winks the balls on the floor.,holds up another attempt.,1
passes over her mouth.,rests into her forehead.,reaches into her forehead.,reaches out to her thigh.,0
flies over district 9.,passes to the ground.,rises from his arena.,rises over her perimeter.,0
see a man in boxing.,see gymnasts in am.,girl talks to the camera.,see the man talking again.,0
go to the lit room.,start back towards the beach.,get into his car.,walk along down the street.,3
gives him a wistful smile.,looks directly at it.,rises to greet him.,enters from the house.,0
drills a hole in a surfboard.,holds up a map.,lies asleep on his bed.,opens a pair of flowers.,0
cut through the darkness.,lie down the road.,put on on a display screen.,appear in her doorway.,0
embrace as they embrace.,sway on their feet.,stare at the river below.,fall into each other's arms.,1
stare at the river below.,embrace as they embrace.,share a slow kiss.,fall into each other's arms.,2
ceases as day breaks.,curls over her racket wings.,glows paint on their bundle.,is turned round again.,0
walks around to the table.,begins surfing the waves.,walks along the lake.,falls out of his water.,1
wait for the first chair.,begin to gag each other.,walk up to her.,turn and look away slowly.,3
enter a spiral ring.,"watch, water sprays.",stare directly at the sky.,stand on overcast sky.,2
"watch, water sprays.",stand on overcast sky.,enter a spiral ring.,reach a meeting room.,3
blots his face with a towel.,pulls on his fake rucksack.,lies on a sofa watching tv.,drapes a hand over his face.,0
looks around at the duct.,watches the video feed.,stands before the casket.,falls off the couch.,3
"watches her go, baffled.",takes off the bracelet.,is picked out for her late.,takes the kitten out.,0
ties him up and laughs.,kisses his lips wryly.,touches on his helmet.,"looks on, in stunned horror.",3
ties him up and laughs.,kicks his gun out of hand.,touches on his helmet.,kisses his lips wryly.,1
is singing on the phone.,has closed the door.,thrusts his horn furiously.,opens the chamber for vodka.,1
nods and looks down.,steps on the cross.,enters with a folder.,takes it from someone.,2
wait in the sky.,fly kites overhead in a sky.,are back in the sky watching.,walk up behind it.,3
slide down the blade.,fly in the air.,send up a frost diamond.,are in the bowl on his lap.,0
sits at his front.,gives someone a dark look.,is at the passenger cabin.,steps into the house.,1
writhes with agony.,drops to the floor.,bounces above the head.,hits it's nostrils.,1
hits it's nostrils.,slashes down his abdomen.,bounces above the head.,writhes with agony.,1
smiles and steps on.,heads into their office.,gazes adoringly at his wife.,steps into a pose.,3
turns back to his coworker.,holds up a phone receiver.,sags against a wall.,is in his early fifties.,2
spreads in the air.,hangs by the doors.,hangs from a small branch.,crashes to the ground.,3
smiles for her son.,stubs on the cigarette.,aims the swords at someone.,leads his boss away.,3
rests his mouth on her neck.,looks over his shoulder.,screws down the volume again.,lets out a whisper.,1
grins at the gould.,holds someone's hand.,puts the bat in his pocket.,walks in the door.,3
gets out and walks closer.,feels over the peg.,indicates at the door.,puts someone in a chokehold.,3
starts to play his saxophone.,starts to play hockey.,speaks and gives a thumbs up.,begins hitting the conga.,3
appears in the sky.,sets someone's feet nearby.,flies through the air.,appears on the screen.,3
"look down at him, seething.",seemed to be blown away.,look out into the night sky.,peers down at hogwarts.,0
stares at the screen.,finishes the back door.,turns and looks around.,stomps out of his way.,0
follows close to someone.,goes back to him.,slowly takes the telegram.,is desperate for someone.,1
slowly takes the telegram.,is desperate for someone.,has drawn himself up.,follows close to someone.,2
has completed his shot.,feels very proud by someone.,looks in her direction.,won't let her pass.,2
is holding a big saxophone.,is playing a violin slowly.,is peeling a piece of wood.,is holding a tattoo knife.,1
is holding a tattoo knife.,is peeling a piece of wood.,is holding a big saxophone.,talks to the camera.,3
creeps across the farmhouse.,plays with a plate of plants.,leads his way off a spear.,peers on the brick wall.,0
gives a weary blink.,watches from a window.,turns and walks off.,stares at the moon.,1
takes down the damaged guys.,enters in the suit.,stares at someone's host.,is walking down a staircase.,3
shoots a toy gun.,is stretching off a bar.,rolls from a pad bike.,is working at the wall.,0
return to the score.,see a slow motion recap.,see a ball reach for a boy.,see the shot men.,1
steps up to his hug.,answers his cell phone.,ducks into a classroom.,points off another roof.,1
lie on her side.,smile and he tickles her.,walk to the front door.,watches with lovelorn eyes.,1
stares at someone's face.,offers him a ring beaming.,turns forward and drives off.,leads his men together.,2
feeds herself a concertina.,produces a long white goat.,shifts her gaze to someone.,points a hand at someone.,2
points a hand at someone.,produces a long white goat.,rises on the couch.,feeds herself a concertina.,2
grabs a mound of snow.,looks toward the countertop.,hits the wax down a spike.,spots it to go inside.,1
sails over a river.,is riding a horse in water.,drives a tube down a river.,is paddling under the water.,1
drives a tube down a river.,is paddling under the water.,sails over a river.,is riding down a waterfall.,3
lets out his new shirt.,turns to someone.,wipes it down with a cloth.,walks out the window.,2
see a tree outside.,see the lady taking pictures.,see the are walking again.,the guy dressed in white.,1
rolls down her window.,hurries into another car.,jumps on one escalator.,enters a dark apartment.,0
soars toward the suv.,turns and gets up.,gives a coca wink.,guides the noblewoman up.,1
snags the board and frowns.,go for the stairs.,stumps on the limo's roof.,hangs on the docks.,2
leap into the abyss.,break through the door.,run down the street.,trudge towards the train.,3
laughs at her mother.,trips over her chair.,runs down the stairs.,hesitates for a moment.,3
is full of dementors.,extends at someone's head.,is fixed at a king's surface.,is lying on the ground.,3
strides out with someone.,wakes up asleep in bed.,emerges from the shadows.,is stock - still.,2
bites someone's armpit.,cuts someone's arm.,rips it out from its body.,gives it a relieved shove.,1
is in his eyes and nose.,has flared into a sharp face.,bears a distance beneath it.,cascades off the spurts.,0
has flared into a sharp face.,bears a distance beneath it.,cascades off the spurts.,is added to the cauldron.,3
joins him in the locker pool.,takes the mail from someone.,looks round at him.,is handed over someone's bag.,2
plays a black piano.,shakes people's hair.,rides his bike quickly.,takes a flying backwards off.,0
leans back in his seat.,looks over at his mother.,picks up his phone.,falls over on a bed.,1
are shown on the screen.,appear on screen over signs.,appear on white screen.,are onto the screen.,0
get to their feet.,sit in her bed.,"follow, closing their eyes.",share a warm embrace.,3
arrive at tested lair.,follow it around a corner.,stand around a cage.,turn off their lights.,3
stand before the riverside.,stand around a cage.,arrive at tested lair.,reunite in another tub.,3
"leans back, licking his lips.",gets him the bank bill.,is looking up at a ceiling.,shrugs and picks himself up.,2
hand her their assignments.,gather to stare at her.,give up to her dance.,stand into the classroom.,0
brings a man to her back.,stands on the morgul blades.,cheerfully squeegees a map.,digs out a cellphone.,3
is carrying a bike.,talks in front of the camera.,is holding two canoe chair.,walks off with a brown rope.,1
is holding two canoe chair.,cleans the back of a truck.,is carrying a bike.,walks off with a brown rope.,1
is doing an instrument.,is at a backdrop.,is shown in his picture.,begins to row out.,1
is playing in the game.,holds up the rope.,pretends to hit the ball.,is talking to the camera.,3
holds up the rope.,loses and gets slapped.,pretends to hit the ball.,is playing in the game.,1
is getting the hell be fired.,kicks him straight away.,has made $4 - pointer.,walks away into the water.,1
is shown on a table.,appears to be displayed.,shows up behind his eyes.,is held by a seated man.,3
is displayed on the counter.,shows up behind his eyes.,appears to be displayed.,is shown on a table.,0
sits on the wall then talks.,has to take a picture.,begins washing his hair.,walks to the pool.,2
is swimming in the water.,flips the dog around the dog.,is rubbing the dogs fur.,wipes the ski with a towel.,2
plays with his hair.,is talking into a microphone.,is holding someone's racquet.,talks to the camera again.,0
raised up from eight to five.,split right behind him.,reads 6: 20.,fills seven the clock: 30.,2
drops it through a propeller.,raises the reactor into it.,kicks it under a cabinet.,falls to the edge.,2
falls to the edge.,raises the reactor into it.,drops it through a propeller.,drops it back down.,3
walks past someone's toyshop.,sits inside a flannel car.,stands on a living room.,appears on the floor again.,0
sits at her desk.,spies wennerstrom on tv.,grins then strides away.,swerves back into the tunnel.,1
peers out a window.,sits at her desk.,swerves back into the tunnel.,grins then strides away.,0
sprinkles it onto a plate.,pretends to write marks.,reads a final report.,sets down the box.,3
switches on a light.,gazes after his father.,walks into the clearing.,is wiping the toilet cap.,2
glances over his shoulder.,strokes someone's hair.,strides back up the aisle.,answers the phone.,0
turns to the camera.,fastens her friend's collar.,hands him an envelope.,takes off her bag.,0
rubs someone's shoulder.,strides back up the aisle.,shares a look with someone.,shows her a letter.,3
has a hair mustache.,pretends to sit back.,puts his slacks back on.,sends aiming a heft torch.,1
smiles at the camera.,walks towards a shaving cord.,demonstrate even the moves.,shaves on a razor.,0
stands in font of the disc.,steps on a stony board.,sleeps on the stage nearby.,'s eyes fill with tears.,3
approach the offices.,'s crewman sits motionless.,pull up the ropes nervously.,look as ill as possible.,2
is watching the news.,are standing up to the bar.,places a baton in her mouth.,create a postcard.,1
are shown on the beach.,try to swim in the river.,walk in the beach.,jumps in the sand.,0
dangles in front of it.,drops a cube to a table.,pass behind the man.,topples a plastic cube.,2
is put in his hand.,is cutting the wall.,is wearing a helmet.,attached to the wood.,2
clears high into the air.,crashes against the window.,hits the green plastic.,is saved by danger.,0
drops as it touches his nose.,drops into a blue sky.,is saved by danger.,crashes against the window.,0
appears at a gas station.,emerges from the garage.,checks him in the back.,gets wearily to his feet.,1
comes back in to pieces.,almost loses his stumble.,placed along a bar is.,is pushed along a flower bed.,3
shows three more minutes.,reads 15: 30.,shows 2 seconds cascades.,reads 6: 30.,3
peer up from above.,"break into a panic, scramble.",look up and approach the men.,follow someone as someone.,1
glance at her nervously.,cautiously enter the theater.,add eggs into a plated form.,sit staring at the messenger.,0
display the bug.,take a look behind the desk.,carry her upstairs.,stare at each other.,3
cautiously enter the theater.,glance up to someone.,add eggs into a plated form.,sit staring at the messenger.,0
are coming down the stairs.,appear to the camera.,run through the parking lot.,are in an arena together.,3
lands on her arms.,is black and red.,drops to the ground.,climbs down on her back.,1
is covered in sand.,whistles.,women his end.,holds a bar up to his nose.,1
holds it up to him.,holds out a hand to him.,steps out of the glade.,jabs someone's chest.,1
dangle from his hands.,rise around his waist.,stretched out before him.,move across frame.,2
are shown being driven.,are getting a drink of water.,are moving towards the bow.,are out from the escorting.,1
juts out over her nose.,lulls to her knees.,turns to the side.,falls toward the floor.,2
falls into his lap.,lulls to her knees.,falls toward the floor.,juts out over her nose.,0
sit in the room.,wave then back to him.,stroll nearby by someone.,fill the chinese drawings.,0
throws the car into park.,places his hand on it.,starts on top of the van.,puts his jacket on the side.,0
are in a crowded gym.,are chasing a ball.,are running down the beach.,walk out into the ring area.,3
moves back to someone.,sees his wife alone.,turns his back to someone.,breaks into a run.,3
stands relieved his rucksack.,wakes up as he eats.,has flipped on his forehead.,sits in the reading bedroom.,0
is removed from the goal.,is put up against a wall.,gets tossed back and forth.,is thrown over the net.,2
is thrown over the net.,hits the water for the goal.,is removed from the goal.,is put up against a wall.,1
watches at the closing gate.,sits on top of the tree.,sits below the queue.,sits on the dinner table.,0
eat fish and chips.,sits on the dinner table.,sits below the queue.,sits on top of the tree.,0
pull against the green cloak.,get out of the car.,are crammed with cars.,fire out at rotting throats.,1
stick to her chest.,are on a small table.,", she unlocks the window.",", she holds someone's gaze.",0
speaks to the camera.,is down into a wave.,rubs him on the buzz.,pulls up on the road.,0
takes off his sunglasses.,puffs on his cigarette.,leave.,watches the screen tensely.,1
scurries up a staircase.,takes off his sunglasses.,frowns at his son and nods.,leave.,1
are tied to the guardrail.,grow restless and weak.,are slow and strained.,are dark and colorful.,2
grow restless and weak.,are tied to the guardrail.,are dark and colorful.,are still and hushed.,3
and tail with their paws.,with a rope and trims on it.,", then relax on the board.",with a brush then walks away.,3
lowers his gaze and leaves.,gives a broad smile.,gives a indifferent shrug.,holds up her hand.,1
ends before chest.,sweeps over the threshold.,goes out with a sharp.,moves a wall of flame.,2
moves away from the woman.,sets up a foot brush.,'s head droops forward.,eyes the pair curiously.,3
shakes his arms in the air.,dismounts and lands on a mat.,lifts up the kid racket.,stands in a play area.,1
holds his father up plainly.,are about to hum.,kicks him in the back.,gently styles his hair.,2
runs to the bedroom door.,"steps away, toting a handgun.",slaps someone's cheek.,looks over her shoulder.,3
switch in large yellow space.,is carried on the floor.,opens the big book.,falls down to the pavement.,2
moons in the brick wall.,are playing ping pong.,footprints on their horses.,is mesmerized by the man.,1
wears a surgical mask.,addresses a makeshift stage.,uses a pottery wheel.,unwraps a blonde parcel.,2
sit in a kayak on a beach.,is playing beer pong.,begin rafting on the river.,jumps on a small boat.,2
hands someone the shotgun.,wears the old and dirty look.,touches someone on the back.,points towards the old shack.,3
joins someone.,gives them a sulky look.,is waiting for him.,heads up the stairs.,1
raises his hands in the air.,gazes gravely at someone.,leans down near the captain.,lifts his brow and nods.,3
puts his hand over his eyes.,climbs out of his car.,meets someone's gaze.,watches him exchange smiles.,0
sits on a couch.,sits in a wooden chair.,sneaks up at the bar.,sits in a kitchen.,1
sits in a kitchen.,sits on a couch.,sneaks up at the bar.,feeds one of her daughters.,3
sadly looks at his son.,climbs out of his car.,meets someone's gaze.,watches him exchange smiles.,0
smokes several shots at cars.,leads someone to a staircase.,crosses to a wall.,sits with his mother in bed.,2
are at the bar.,ends stop looking for her.,sit by a partition.,cheer for the dog.,0
is startled as he goes.,leans in the bed.,lies down on a couch.,is glumly among them.,0
points to the train -.,pushes someone down it.,dashes up to the school.,snatches the pen from them.,0
snatches the pen from them.,stares at him sadly.,dashes up to the school.,pushes someone down it.,1
observes his way to students.,hangs the strap on her watch.,grabs him by the elbow.,scrutinizes his son's head.,2
holds up a finger.,reaches for the gun.,tries to shut him off.,comes over to him.,3
soars through the woods.,opens his front door.,stands by his thoughtful pot.,turns on the lights.,3
roars into applause twice.,wallops the shorter away.,shows his manner in agony.,scales the columns.,1
fly off the hinges.,take above the room.,adorn a central table.,transform.,0
flies past the individual.,spreads off a zebra.,comes on an exposed.,holds it from his hand.,0
steps into the file tray.,rushes back into the hall.,appears in the doorway.,is in a quiet bay.,2
looking him around the side.,hold up a flag.,preparing to hide.,cheering along after her.,1
walks in holding a folder.,looks up and smiles.,holds out a new addition.,wears someone's print.,0
sits without a tattoo.,turns back on the camera.,pulls up next to the woman.,puts a guitar on her lap.,3
picks up some plaster.,pulls up next to the woman.,sits without a tattoo.,turns back on the camera.,3
sits down on the log.,sits listening to him.,carries her baby in her arms.,tosses down a plain mallet.,0
takes her hand out of hers.,"watches him, confused.",shows them for dr.,looks down at her.,3
swim into the water beyond.,pull down into her arms.,swarm around the ring.,dash in after him.,0
removes someone's sword.,makes the gesture again.,holds the phone to his ear.,fires through the far crowd.,1
opens the vault's windows.,freezes in the hall.,has braces on the floor.,writes in a datebook.,1
flips onto the mat.,jumps from a skating area.,jumps off the air.,jumps into a room.,2
is placed in the jar.,is on the top of the counter.,is poured in the bowl.,is poured on a glass.,1
is placed in the jar.,is with a steel ball.,is poured in the bowl.,is serve in a cup.,3
swims under the water.,stands up next to the pool.,dives off into the pool.,dives beneath the air board.,0
is oblivious of the people.,knocks someone at a pinata.,blinks and drops her gaze.,is leaving the apartment.,0
gets on a motorcycle herself.,sticks it in someone's mouth.,brushes the dogs teeth.,watches in black and boy.,2
pushes a door open.,rises to his feet.,follows someone's gaze.,looks into his eyes.,1
"looks at him, taking one.",sips a beer from a glass mug.,turns from the sink.,"tastes it, tries to punch.",1
lolls to her shoulder.,shifts into the toilet seat.,turns back to the squat.,drops in close to her side.,0
levels a finger at him.,lifts it off the peg.,rips off a bandage.,lies on her back.,0
looks out the window.,shuts the door behind her.,steps out into the hallway.,turns closer to someone.,2
looks out the window.,opens it and looks out.,shuts the door behind her.,turns closer to someone.,1
share a photo hug.,hop up a ladder.,walk up the front.,watch someone feed a horse.,3
boards a waiting bus.,tosses someone a suitcase.,stares at the roof.,hangs a life jacket.,0
sloshes onto the field.,are dancing on the ceiling.,is covered with flash photos.,slides down a track.,3
hurtle towards the wreckage.,"opens its snout, like mist.",form his thin tux.,rises on the crescent screen.,0
appear on the screen.,shows her how to paint.,talks into the camera.,putting the brush back on.,1
stands at the datebook.,turns a dial on the radio.,waits in a conference hall.,dials a phone number.,1
gives him a final look.,reaches for the car.,slices the bus away.,falls on to the people.,0
gets back in his truck.,leads someone to the door.,backs away from the crowd.,shoots at the stop outside.,2
stands at the datebook.,sneaks across the house.,dials a phone number.,opens other ear buds.,2
hangs on the bank.,emerges from the nearby door.,looks across the aisle.,sits on his new desk.,1
works at her computer.,sits in the lobby.,steps into the driveway.,takes his phone out.,3
hands the baby to her.,smiles and gives him a candy.,takes someone's candy over.,walks around the room.,3
fly in mid - air.,fly out of his eyes.,spill all over the driveway.,fall on top of someone.,2
fall on top of someone.,fly out of his eyes.,fly in mid - air.,fly out of the window.,3
paddle down the river.,continue on the bikes.,fall from the flies.,enter a motel room.,0
exchange a resolute look.,climb to the top of a plane.,aim their guns at someone.,arrive in his office.,2
arrive in his office.,exchange a resolute look.,climb to the top of a plane.,pass through the scope.,1
plays with the diner.,stirs at someone's food.,takes his arm and carries it.,looking from left to right.,3
screams from behind him.,smiles grimly as he rides on.,turns over to someone.,kisses someone over his boot.,1
're measured up to her.,warm up and hug each other.,hit it back as they chug.,start kneeing the targets.,3
leans down to ravel.,poses on a card.,is admiring the view.,shakes her hand and smirks.,3
picks out the baby.,comes into frame to kick it.,backs onto the railing.,stands with the box.,1
picks out the baby.,stands with the box.,runs towards her.,backs onto the railing.,2
open a blender.,hit the jubilant someone.,head toward someone's house.,eat off their crops.,3
puts it into a pocket.,takes out his lighter.,takes it from someone.,takes out his vows.,1
looks to his left.,raises the letter in hand.,raises the filter gun.,takes a seat behind them.,3
share a tender smile.,friends shiver.,begin to smoke her.,'s head is lying on his bed.,0
shifts his disgruntled gaze.,'s gaze grows.,eyes his companion's arm.,stops and walks away.,2
falls from the railing.,is returning to normal.,lies with his hands below.,sag into a sprint.,0
start rubbing on tam jack.,see a title screen.,lights a dark liquid.,groomer cleans the floor.,3
extends her hand to someone.,aims his gun at someone.,lays her face on her feet.,extends his hand to someone.,3
aims his gun at someone.,extends her hand to someone.,speaks into the radio.,lays her face on her feet.,2
is next to him.,is sailing against the ocean.,is holding a surfboard.,jump into the water.,2
"stares at him, then turns.","looks at someone, concerned.","looks down, shoulder - deep.",stares at him intensely.,0
grabs her book from him.,stares at him intensely.,stares into his eyes.,"looks at someone, concerned.",0
stares into his eyes.,"looks at someone, concerned.","looks down, shoulder - deep.",stares at him intensely.,2
jogs out of view.,takes off his reading.,nears a blurry gap.,tilts her head angrily.,0
strides to the landing.,blocks the call.,pulls him to someone.,gives a shy smile.,3
steps over and kiss someone.,shrugs and takes a seat.,holds the diary shut.,starts after his car.,1
get to the lift.,rise from their seats.,go into the cabin.,move to the bar.,1
is just a few feet away.,glows on her hands.,drops off the bed.,is hurled through the air.,0
drops off the bed.,glows on her hands.,is hurled through the air.,comes to a halt.,3
dives to take her place.,walks to the edge.,walks towards the first girl.,dives to the girl.,1
hoists him up and grabs her.,writes on the phone.,climbs into someone's suv.,uses a walkie - talkie.,3
peers into an apartment.,steps onto the school.,sits at a coffee shop.,takes her hair down.,3
heads behind her.,finds his room not empty.,pauses at the landing.,gapes at the ceiling.,2
sits at a coffee shop.,steps onto the school.,peers into an apartment.,struts back to someone.,3
gapes at the ceiling.,meets two guests.,heads behind her.,finds his room not empty.,1
appears on the stairs.,shifts his thoughtful gaze.,hands someone a locket.,is fuming a little.,3
looks out at someone's phone.,skips over the chase.,gives a cool shrug.,sprints away from the boys.,3
floating through her clothes.,leans closer to someone.,nods as he remembers.,starts for the door.,2
testing in someone's cuffs.,gets the better of him.,is asking him buy.,pushes him in his back.,1
smile at the leg.,share a serious look.,raise their heads like horns.,arrive to the table.,1
arrive to the table.,smile at the leg.,are in complete agreement.,raise their heads like horns.,2
rises on her shoulder.,covers the woman's bed.,lies in a brace.,rests in it.,2
picks up a photo of his son.,lies on top of someone.,kisses someone's butt.,feels a much cords.,1
adjusts the glove reader.,gestures for her to follow.,picks up the receiver.,and someone look around.,1
puts down someone's headset.,hands it to him and exits.,hands him an address.,holds out a suit.,1
see a high water skier.,show people with rodeo gear.,returns to the exit.,flashes to another angle.,3
gazes into her eyes.,giggles to the beat.,gently kisses her cheek.,meets his earnest gaze.,0
looks hard up at us.,begins to pat it.,takes out his cellphone.,slowly moves to the stairs.,3
is cleaning the sink.,continues to dry his foot.,brushes it with a toothbrush.,sprays it on his face.,0
sprays it on his face.,brushes it with a toothbrush.,put it in the pot.,continues to dry his foot.,2
stands at a window.,enters with a letter.,sits with his girlfriend.,realizes that is him late.,0
takes her by the wrist.,gets out of her car.,turns to her dad.,stands alone at the theater.,0
ducks behind the pillar.,gets stuck with his mother.,starts then strikes dinner.,uncorks a vodka bottle.,0
brings his back to his team.,lies on his butt lap.,stares like a falcon.,backs up and turns around.,3
climbs on on the fours.,lies on his butt lap.,enters someone's living room.,greets a guy with scissors.,2
greets a guy with scissors.,stares like a falcon.,climbs on on the fours.,lies on his butt lap.,1
has not yet drawn it yet.,moves the tool with the band.,can't answer her - - worried.,is looking around him.,3
moves the tool with the band.,can't answer her - - worried.,looks sharply at someone.,has not yet drawn it yet.,2
gazes into someone's eyes.,leans in to someone.,gives a soft smile.,stares at him as she exits.,1
does not turn it.,falls from the smoke.,can't find it.,pretends to be asleep.,3
shine in a hallway.,washes through the ceiling.,reveal a cigarette lighter.,glow onto the sidewalk.,3
turns her back to him.,begins to kiss her hand.,gives a serious look.,heads for the door.,3
is instantly weak away.,"reacts, pigeons another fly.",stops for a final good beat.,gets into the lincoln.,3
see a skier in a waterfall.,see an opening title screen.,see a man's knife in a room.,see a lady talking.,1
see a man's knife in a room.,see judges and drummers.,see a skier in a waterfall.,see a lady talking.,1
glides down on the valet.,lands on a baggage carousel.,walks in front of someone.,runs up to her.,1
is reading a folded letter.,drops off of her pillow.,floats in front of her.,follows bearing an envelope.,1
put it on a plate of bread.,put the sandwich on top.,put it on the sandwich.,put them on two bread.,2
is talking to her.,is ironing the dark shirt.,is in a gym.,begins talking to the camera.,0
runs across the street.,immediately to the door.,runs back to her.,hurries inside with a smile.,0
runs back to her.,run out of the room.,immediately to the door.,hurries inside with a smile.,1
don't see the man.,fight over the phone.,are on their knees.,look toward a paper seller.,3
are on their knees.,fight over the phone.,are staring at someone.,don't see the man.,2
is playing the saxophone.,is playing an accordian.,holds messes on his hands.,begins playing his accordion.,0
plays in front of a target.,sits down on the lawn.,is standing behind scenes.,walks in front of them.,3
gets out of the car.,falls into the water.,"hacks him, almost limp.",can not clean through.,1
throws off the clip.,plays the saxophone again.,starts to play guitar.,leaves off the paper.,1
pulls on the trail.,shakes down his hand.,glaring at the wig.,holding two styrofoam cups.,3
gets a stationary bike.,is using a crunch machine.,does the same thing.,is standing next to red mats.,2
stands on the field.,is standing next to red mats.,gets a stationary bike.,is using a crunch machine.,0
goes back and forth.,leads her into the kitchen.,flips the book back.,makes his way around a chair.,3
walks the boy through a door.,flips the book back.,leads her into the kitchen.,goes back and forth.,0
shifts her anxious gaze.,tosses it to her.,gets on the car.,drops a computer - rifle.,0
are frozen in fear.,seem to burn through him.,snap up at his.,are bleary with tears.,1
sighs and puts the ring away.,throws him in the back.,keeps staring at the floor.,is about to take it.,0
hangs back over her arm.,breaks to a relieved grin.,rises down over the bed.,drops to the floor.,0
returns to the bedroom.,looks up at someone.,begins to record them.,looks into the darkness.,3
runs and dives in the pool.,falls off the water.,runs across the beach.,goes on levels in water.,2
holds up a cell phone.,trims a dark - haired man.,waits behind an empty room.,is forming an art of curls.,2
ties the fireman's arm.,ducks at a ceiling ceiling.,looks up and finds it empty.,bites on the screen.,2
is holding the drink.,is standing his stilts.,walks past the fbi.,holds up the wood.,3
is none of her shots.,'s standing behind her.,is hanging from the far wall.,is then a shot of the ocean.,3
dives into the sand.,lightly cheek on him.,sets hers down and smiles.,puts the phone on the table.,2
pauses the lane again.,says maybe next time.,is clearly listening.,shows elephant of meat.,1
drives around the suv.,rides through the traffic.,swerves to avoid her.,is parked in front of them.,2
walks up a flight of stairs.,hangs up the phone.,takes the pen from someone.,looks down at them.,3
of reception is shown.,is in the farmhouse.,spills down the screen.,shows the heat temperature.,3
jumps on the ladder.,jumps on the slack line.,jumps over her head.,jumps off the bridge.,3
walks up onto the machine.,does the back wheel of a car.,gets out of the car.,prepares to bungee exercise.,0
watches from the steps.,stands at the dining table.,sets the plate away.,stares at his friend.,0
clasp on the cigar.,step onto the door.,lifting her from bed.,exit into the lobby.,3
drives to his new manager.,looks over someone shoulder.,remembers her to answer.,stop a fence and look around.,1
is pulled up over him.,is draped with his blanket.,lies beside a bed.,is tied around his waist.,0
stops and drops a racket pin.,spins her stick for support.,swings the hula hoop.,catches up and spins around.,2
closes his eyes tightly.,takes her step beside him.,drops to her feet.,picks up his bag.,1
wears a figurine paint.,rubs the tip of the gun.,gives him a thoughtful look.,gives someone a dirty look.,2
flew high then low.,falls off the ground.,bursts from the sky.,falls into the air.,0
is been showing what he did.,flies high into the air.,turns the camera around.,jumps in front of it.,2
has started to hear it.,takes the shaker away.,pulls up to someone's house.,throws him at the counter.,1
- - turns and hurtles off.,has changed in her underwear.,pushes the boat behind him.,darts out of the corridor.,3
falters.,passes in the next room.,squeezes off.,pushes it back.,1
gives a stoic nod and nods.,stares wide - eyed.,leads someone into a den.,spits out another slug.,2
see bright sunlight inside.,bow at each other.,start to arm wrestle.,slam him up and down.,1
tumble into the spot.,give the few kisses.,wait for him as he reads.,jump out of their cameras.,2
is walking near it.,is cutting the dog's hair.,is seated behind a desk.,is playing around on a table.,2
climbs onto a footbridge.,fires at the robotic suvs.,rolls off his penguin.,sits on a cot.,3
takes out the glass.,injects the boy's arm.,takes a stack of keys.,turns away from the mailbag.,3
pauses from their kiss.,lies into bed behind him.,shows her the unopened room.,hands someone the guitar.,0
lies into bed behind him.,drops down on bed.,hands someone the guitar.,shows her the unopened room.,1
is on the floor.,is within a mop lift.,sends an invisible propeller.,stops with a thud.,3
